"","Anio","Bloque","X_UTM","Y_UTM","Altitud","Inc","Sevmed","LonBrot","Afmed","CA","RA","Color"
"120",2016,"Alta",605723.5343,2181018.051,2992.4,0.5,0.094,10,0.3008,4.026845638,95.97315436,1
"121",2016,"Alta",605720.3726,2181021.02,2993.1,0.9,0.109333333,6.5,0.303966667,7.865168539,92.13483146,2
"122",2016,"Alta",605728.6395,2181040.769,2979.2,0.133333333,0.021,7.5,0.363533333,12.67605634,87.32394366,1
"123",2016,"Alta",605750.3759,2181086.607,2973.2,0.833333333,0.373666667,7.6,0.2398,31.63265306,68.36734694,2
"124",2016,"Alta",605752.4903,2181083.521,2973.3,0,0,9.6,0.3182,10.56910569,89.43089431,1
"125",2016,"Alta",605758.8875,2181065.187,2978.5,0.5,0.171333333,8,0.288833333,0,100,2
"126",2016,"Alta",605746.3904,2181051.832,2979.5,0.733333333,0.180333333,8,0.312166667,59.61538462,40.38461538,3
"127",2016,"Media",605743.3129,2181040.635,2980.2,0.833333333,0.233,10.2,0.431466667,6.862745098,93.1372549,2
"128",2016,"Media",605734.9078,2181044.127,2980.2,0.866666667,0.198,8.9,0.3576,23.59550562,76.40449438,2
"129",2016,"Media",605734.3542,2181049.104,2979.7,0.233333333,0.065,9.7,0.3265,20,80,1
"130",2016,"Media",605734.3628,2181047.665,2979.8,0.533333333,0.075333333,11.7,0.4082,8.695652174,91.30434783,2
"131",2016,"Media",605740.8457,2181032.541,2979.4,0.933333333,0.223,7,0.191,13.40206186,86.59793814,1
"132",2016,"Media",605727.6192,2181036.115,2979.4,0.166666667,0.012666667,9.4,0.285333333,6.976744186,93.02325581,2
"133",2016,"Media",605728.681,2181033.797,2978.5,0.8,0.170666667,11,0.389333333,3.2,96.8,2
"134",2016,"Media",605734.5193,2181021.326,2992.1,0.233333333,0.033333333,9,0.349166667,4.761904762,95.23809524,1
"135",2016,"Media",605741.3662,2181015.501,2992.9,0.933333333,0.216,7.4,0.253566667,1.869158879,98.13084112,2
"136",2016,"Media",605726.7336,2181008.773,2973.5,0.033333333,0.002666667,8.6,0.362033333,7.954545455,92.04545455,3
"137",2016,"Media",605721.5238,2181003.652,2990.9,0.866666667,0.15,7.1,0.1912,3.125,96.875,2
